Loan ID,Date,credit.policy,purpose,int.rate,installment,dti,fico,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec
932298,01/10/2023,1,debt_consolidation,0.1189,829.1,19.48,737,28854,52.1,0,0,0
720750,06/10/2023,1,credit_card,0.1071,228.22,14.29,707,33623,76.7,0,0,0
880796,30/10/2023,1,debt_consolidation,0.1357,366.86,11.63,682,3511,25.6,1,0,0
896722,12/10/2023,1,debt_consolidation,0.1008,162.34,8.1,712,33667,73.2,1,0,0
323344,19/10/2023,1,credit_card,0.1426,102.92,14.97,667,4740,39.5,0,1,0
939237,21/10/2023,1,credit_card,0.0788,125.13,16.98,727,50807,51,0,0,0
301323,23/10/2023,1,debt_consolidation,0.1496,194.02,4,667,3839,76.8,0,0,1
577390,17/10/2023,1,all_other,0.1114,131.22,11.08,722,24220,68.6,0,0,0
146350,11/10/2023,1,home_improvement,0.1134,87.19,17.25,682,69909,51.1,1,0,0
215728,08/10/2023,1,debt_consolidation,0.1221,84.12,10,707,5630,23,1,0,0
713831,17/10/2023,1,debt_consolidation,0.1347,360.43,22.09,677,13846,71,2,0,1
339947,11/10/2023,1,debt_consolidation,0.1324,253.58,9.16,662,5122,18.2,2,1,0
196419,14/10/2023,1,debt_consolidation,0.0859,316.11,15.49,767,6068,16.7,0,0,0
726985,07/10/2023,1,small_business,0.0714,92.82,6.5,747,3021,4.8,0,1,0
374913,19/10/2023,1,debt_consolidation,0.0863,209.54,9.73,727,6282,44.6,0,0,0
161461,05/10/2023,1,major_purchase,0.1103,327.53,13.04,702,5394,53.4,1,0,0
671274,07/10/2023,1,all_other,0.1317,77.69,2.26,672,2211,88.4,0,0,0
865747,06/10/2023,1,credit_card,0.0894,476.58,7.07,797,7586,52.7,1,0,0
954743,27/10/2023,1,debt_consolidation,0.1039,584.12,3.8,712,8311,59.8,0,0,0
852519,11/10/2023,1,major_purchase,0.1513,173.65,2.74,667,591,84.4,3,0,0
